date,reservoir,data_type,inflow
1999-04-05,LCR,GCN_LSTM,95.03250122070312
1999-04-05,LCR,Ground_Truth,39.0
1999-04-06,ECH,AdaTrip,180.63137817382812
1999-04-06,ECH,GCN_LSTM,143.66641235351562
1999-04-06,ECH,Ground_Truth,147.0
1999-04-06,ECR,AdaTrip,69.12162017822266
1999-04-06,ECR,GCN_LSTM,114.89537048339844
1999-04-06,ECR,Ground_Truth,65.0
1999-04-06,LCR,AdaTrip,69.57433319091797
1999-04-06,LCR,GCN_LSTM,95.45101928710938
1999-04-06,LCR,Ground_Truth,39.0
1999-04-07,ECH,AdaTrip,176.24063110351562
1999-04-07,ECH,GCN_LSTM,136.40704345703125
1999-04-07,ECH,Ground_Truth,162.0
1999-04-07,ECR,AdaTrip,62.3924446105957
1999-04-07,ECR,GCN_LSTM,111.39535522460938
1999-04-07,ECR,Ground_Truth,65.0
1999-04-07,LCR,AdaTrip,67.66162872314453
1999-04-07,LCR,GCN_LSTM,88.21255493164062
1999-04-07,LCR,Ground_Truth,33.0
1999-04-08,ECH,AdaTrip,168.5871124267578
1999-04-08,ECH,GCN_LSTM,150.32986450195312
1999-04-08,ECH,Ground_Truth,189.0
1999-04-08,ECR,AdaTrip,53.47145462036133
1999-04-08,ECR,GCN_LSTM,117.97796630859375
1999-04-08,ECR,Ground_Truth,80.0
1999-04-08,LCR,AdaTrip,56.48931884765625
1999-04-08,LCR,GCN_LSTM,99.59172058105469
1999-04-08,LCR,Ground_Truth,23.0
1999-04-09,ECH,AdaTrip,175.39869689941406
1999-04-09,ECH,GCN_LSTM,163.08738708496094
1999-04-09,ECH,Ground_Truth,172.0
1999-04-09,ECR,AdaTrip,53.97572326660156
1999-04-09,ECR,GCN_LSTM,123.16845703125
1999-04-09,ECR,Ground_Truth,80.0
1999-04-09,LCR,AdaTrip,53.44552230834961
1999-04-09,LCR,GCN_LSTM,110.26070404052734
1999-04-09,LCR,Ground_Truth,17.0
1999-04-10,ECH,AdaTrip,178.56411743164062
1999-04-10,ECH,GCN_LSTM,155.21263122558594
1999-04-10,ECH,Ground_Truth,236.0
